category,name
Economic Sciences,Robert J. Shiller
Physiology or Medicine,Robert Koch
Economic Sciences,Robert M. Solow
Economic Sciences,Robert Mundell
Chemistry,Robert S. Mulliken
Physics,Robert Schrieffer
Economic Sciences,Robert W. Fogel
Physiology or Medicine,Robert W. Holley
Physics,Robert Woodrow Wilson
Chemistry,Roderick MacKinnon
Physiology or Medicine,Rodney R. Porter
Economic Sciences,Roger B. Myerson
Chemistry,Roger D. Kornberg
Physiology or Medicine,Roger Guillemin
Literature,Roger Martin du Gard
Physiology or Medicine,Roger W. Sperry
Chemistry,Roger Y. Tsien
Physiology or Medicine,Rolf M. Zinkernagel
Literature,Romain Rolland
Chemistry,Ronald G.W. Norrish
Economic Sciences,Ronald H. Coase
Physiology or Medicine,Ronald Ross
Physiology or Medicine,Rosalyn Yalow
Physics,Roy J. Glauber
Literature,Rudolf Eucken
Physics,Rudolf Mössbauer
Chemistry,Rudolph A. Marcus
Literature,Rudyard Kipling
Physics,Russell A. Hulse
Chemistry,Ryoji Noyori
Literature,Saint-John Perse
Physiology or Medicine,Salvador E. Luria
Literature,Salvatore Quasimodo
Literature,Samuel Beckett
Physics,Samuel C.C. Ting
Physiology or Medicine,Santiago Ramón y Cajal
Physiology or Medicine,Satoshi &#332;mura
Literature,Saul Bellow
Physics,Saul Perlmutter
Literature,Seamus Heaney
Peace,Seán MacBride
Literature,Selma Lagerlöf
Physiology or Medicine,Selman A. Waksman
Physics,Serge Haroche
Physiology or Medicine,Severo Ochoa
Physics,Sheldon Glashow
Peace,Shimon Peres
Physiology or Medicine,Shinya Yamanaka
Peace,Shirin Ebadi
Literature,Shmuel Agnon
Physics,Shuji Nakamura
Chemistry,Sidney Altman
Literature,Sigrid Undset
Economic Sciences,Simon Kuznets
Physics,Simon van der Meer
Physics,Sin-Itiro Tomonaga
Literature,Sinclair Lewis
Physiology or Medicine,Sir Alexander Fleming
Economic Sciences,Sir Arthur Lewis
Peace,Sir Austen Chamberlain
Physiology or Medicine,Sir Bernard Katz
Physics,Sir Chandrasekhara Venkata Raman
Physiology or Medicine,Sir Charles Sherrington
Chemistry,Sir Cyril Hinshelwood
Physiology or Medicine,Sir Frank Macfarlane Burnet
Physiology or Medicine,Sir Frederick Hopkins
Chemistry,Sir Gregory P. Winter
Chemistry,Sir Harold Kroto
Physiology or Medicine,Sir Henry Dale
Physiology or Medicine,Sir Howard Florey
Chemistry,Sir J. Fraser Stoddart
Physiology or Medicine,Sir James W. Black
Physiology or Medicine,Sir John B. Gurdon
Physiology or Medicine,Sir John Eccles
Physiology or Medicine,Sir Martin J. Evans
Physics,Sir Nevill F. Mott
Peace,Sir Norman Angell
Physiology or Medicine,Sir Paul Nurse
Physiology or Medicine,Sir Peter J. Ratcliffe
Physiology or Medicine,Sir Peter Mansfield
Chemistry,Sir Robert Robinson
Chemistry,Sir William Ramsay
Chemistry,Stanford Moore
Physiology or Medicine,Stanley B. Prusiner
Physiology or Medicine,Stanley Cohen
Chemistry,Stefan W. Hell
Physics,Steven Chu
Physics,Steven Weinberg
Physics,Subramanyan Chandrasekhar
Literature,Sully Prudhomme
Physiology or Medicine,Sune K. Bergström
Physiology or Medicine,Susumu Tonegawa
Chemistry,Svante Arrhenius
Literature,Svetlana Alexievich
Physiology or Medicine,Sydney Brenner
Literature,T.S. Eliot
